username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CricKingApp;2016-04-19 08:34;0;1;"GONE! Maxwell's switch hit resulted in his fall as Narine takes the wicket. He goes after making 4. 94/5 in 14.5 overs. #IPL2016 . #KXIPvKKR";;;#IPL2016 #KXIPvKKR;"722448409970356224";https://twitter.com/CricKingApp/status/722448409970356224
BCBtigers;2016-04-19 08:29;9;23;"Shakib comes back into the attack in the 14th over. #KXIPvKKR #IPL2016";;;#KXIPvKKR #IPL2016;"722446950398754816";https://twitter.com/BCBtigers/status/722446950398754816
SirJadeja;2016-04-19 08:16;16;93;"Anyone Missing My Tweets? ;) #KXIPvKKR #IPL2016";;;#KXIPvKKR #IPL2016;"722443637582213121";https://twitter.com/SirJadeja/status/722443637582213121
cricbuzz;2016-04-19 08:04;9;17;"Piyush Chawla strikes with his googly. Vijay didn't read it one bit, went back on the cut and missed, OUT for 26 #KXIPvKKR #IPL2016";;;#KXIPvKKR #IPL2016;"722440863649890304";https://twitter.com/cricbuzz/status/722440863649890304
BCBtigers;2016-04-19 07:53;6;37;"9 runs given away in his second over, Shakib has bowled now, 0-15. KXIP 35-1 after 5 overs. #KXIPvKKR #IPl2016";;;#KXIPvKKR #IPl2016;"722438044641460224";https://twitter.com/BCBtigers/status/722438044641460224
BCBtigers;2016-04-19 07:48;8;30;"Shakib takes a very good catch in the deep and Vohra walks back, Morkel strikes. KXIP 21-1. #KXIPvKKR #IPL2016";;;#KXIPvKKR #IPL2016;"722436626274619392";https://twitter.com/BCBtigers/status/722436626274619392
cricbuzz;2016-04-19 07:44;9;14;"One over each for Morne Morkel and Umesh Yadav, Gambhir has already turned to the spin of Shakib Al Hasan #KXIPvKKR #IPL2016";;;#KXIPvKKR #IPL2016;"722435642265722881";https://twitter.com/cricbuzz/status/722435642265722881
ESPNcricinfo;2016-04-19 07:36;28;32;"Chris Gayle set to miss Royal Challengers Bangalore's next two games after flying back to Jamaica http:// es.pn/1U4VYUi #IPL2016 #MIvRCB";;;#IPL2016 #MIvRCB;"722433599757115392";https://twitter.com/ESPNcricinfo/status/722433599757115392
IExpressSports;2016-04-19 07:24;4;15;"#IPL2016 Shikhar Dhawans slow footwork is causing him problems, says Sunil Gavaskar http:// indianexpress.com/article/sports /cricket/shikhar-dhawans-slow-footwork-is-causing-him-problems-says-sunil-gavaskar-2760993/ pic.twitter.com/3z3LajSuzG";;;#IPL2016;"722430724461047808";https://twitter.com/IExpressSports/status/722430724461047808
ESPNcricinfo;2016-04-19 07:01;14;21;"Kolkata Knight Riders win the toss and decide to bowl http:// es.pn/1VAXEGa #KXIPvKKR #IPL2016";;;#KXIPvKKR #IPL2016;"722424861616775169";https://twitter.com/ESPNcricinfo/status/722424861616775169
FirstpostSports;2016-04-19 06:40;6;9;"#IPL2016 , #KXIPvKKR : @lionsdenkxip , @KKRiders aim to continue momentum. Live updates: http:// bit.ly/1WcI5DE pic.twitter.com/fZpTQHMzPx";;@lionsdenkxip @KKRiders;#IPL2016 #KXIPvKKR;"722419581621559296";https://twitter.com/FirstpostSports/status/722419581621559296
HitmanCricket;2016-04-19 06:16;15;9;"#FakeFBWall :- Team Reactions to the Points Table. #IPL2016 http://www. crictracker.com/fake-fb-wall-i pl-teams-express-their-feelings-on-the-points-table-standings/ via @Cricketracker pic.twitter.com/oS9kwMJlSQ";;@Cricketracker;#FakeFBWall #IPL2016;"722413526677991424";https://twitter.com/HitmanCricket/status/722413526677991424
CricketNDTV;2016-04-19 06:15;20;28;"#IPL2016 : Gujarat Lions are my No. 1 and then KKR. Both teams are being led by left-handers: Gavaskar to NDTV http:// goo.gl/gL8b4g";;;#IPL2016;"722413337317773314";https://twitter.com/CricketNDTV/status/722413337317773314
CricketNDTV;2016-04-19 06:13;14;28;"#IPL2016 : Sarfaraz Khan is one youngster, who has a cricket future. He needs more exposure: Gavaskar to NDTV";;;#IPL2016;"722412888808230914";https://twitter.com/CricketNDTV/status/722412888808230914
YourStoryCo;2016-04-19 05:35;15;13;"Know what #startups are doing to ride the @IPL wave this year http:// yourstory.com/2016/04/ipl-st artups/ by @SouravRoy_ #IPL2016 pic.twitter.com/i9dy1F9BTz";;@IPL @SouravRoy_;#startups #IPL2016;"722403206601379840";https://twitter.com/YourStoryCo/status/722403206601379840
MitchJohnson398;2016-04-19 04:55;24;105;"Let's make it 2 in a row @lionsdenkxip #selfiemadness #ipl2016 #chandigarh https://www. instagram.com/p/BEYYTg3vZ5G/";;@lionsdenkxip;#selfiemadness #ipl2016 #chandigarh;"722393303107420160";https://twitter.com/MitchJohnson398/status/722393303107420160
ESPNcricinfo;2016-04-19 04:33;26;40;"John Hastings, the Australia and Kolkata Knight Riders allrounder, has been ruled out of the rest of #IPL2016 http:// es.pn/1VzvE6p";;;#IPL2016;"722387706777575426";https://twitter.com/ESPNcricinfo/status/722387706777575426
IPL_Sports;2016-04-19 04:11;18;51;"Not even one double digit score for Shikhar Dhawan. #IPL9 #IPL2016 pic.twitter.com/BRdxba99md";;;#IPL9 #IPL2016;"722382148355899392";https://twitter.com/IPL_Sports/status/722382148355899392
shibanidandekar;2016-04-18 23:52;17;82;"I miss you guys too!your messages are just heart warming!but I'm still here &have mad for you so tell who your favourites are?? #IPL2016";;;#IPL2016;"722316939209510912";https://twitter.com/shibanidandekar/status/722316939209510912
bhogleharsha;2016-04-17 21:07;107;477;"The #IPL2016 is also showing us how much allowance you need to make for the absence of quality players. eg #RCB for Starc and Badree.";;;#IPL2016 #RCB;"721912909765480448";https://twitter.com/bhogleharsha/status/721912909765480448
RVCJ_FB;2016-04-17 11:09;18;35;"What a great knock by Quinton De Kock!! Maiden IPL Century for him, First Century of #IPL2016 #RCBvDD";;;#IPL2016 #RCBvDD;"721762583515172864";https://twitter.com/RVCJ_FB/status/721762583515172864
ESPNcricinfo;2016-04-17 11:00;60;130;"Shane Watson claps in admiration after he dismisses Quinton de Kock for 108 http:// es.pn/1p8KS3y #RCBvDD #IPL2016";;;#RCBvDD #IPL2016;"721760245115006976";https://twitter.com/ESPNcricinfo/status/721760245115006976
cricbuzz;2016-04-17 10:54;59;88;"de Kock raises the first hundred of #IPL2016 . He definitely loves batting in India and against the Indians. #RCBvDD";;;#IPL2016 #RCBvDD;"721758637237018624";https://twitter.com/cricbuzz/status/721758637237018624
nishantkalia;2016-04-17 10:49;18;9;"Any team that has Dravid in it will always do wonders, even if it's Delhi. #IPL2016";;;#IPL2016;"721757509019521025";https://twitter.com/nishantkalia/status/721757509019521025
lalka_harsh;2016-04-17 10:30;12;14;"Rcb's batting vs Rcb's bowling #IPL2016 #RCBvDD pic.twitter.com/CNXhignAz8";;;#IPL2016 #RCBvDD;"721752822035787776";https://twitter.com/lalka_harsh/status/721752822035787776
cricbuzz;2016-04-17 09:30;44;65;"Catch of #IPL2016 ? Watson ran from mid-on, took the catch in front of the ropes, lost balance, threw it back, Wiese dives and takes #RCBvDD";;;#IPL2016 #RCBvDD;"721737720398151680";https://twitter.com/cricbuzz/status/721737720398151680
ESPNcricinfo;2016-04-17 09:30;42;62;"What an insane catch that is! Watson and Wiese combine to dismiss Iyer http:// es.pn/1p8KS3y #RCBvDD #IPL2016";;;#RCBvDD #IPL2016;"721737570124587009";https://twitter.com/ESPNcricinfo/status/721737570124587009
isaguha;2016-04-17 09:29;40;91;"Um - that was ridiculous. WattoWiese #RCBvDD #IPL2016";;;#RCBvDD #IPL2016;"721737374556786690";https://twitter.com/isaguha/status/721737374556786690
isaguha;2016-04-17 09:25;30;126;"This man leaves the field to rapturous applause. Class and elegance personified @RCBTweets #kohli #IPL2016 pic.twitter.com/CFcsFKIHGs";;@RCBTweets;#kohli #IPL2016;"721736348772622336";https://twitter.com/isaguha/status/721736348772622336
MotherDairyMilk;2016-04-17 09:00;40;28;"RT if you think you're going to win the #JeetengeDil contest! @DelhiDaredevils #IPL2016";;@DelhiDaredevils;#JeetengeDil #IPL2016;"721730111616057345";https://twitter.com/MotherDairyMilk/status/721730111616057345
TrollCricket3;2016-04-17 08:19;20;23;"No offence to Virat Kohli, but AB Devilliers is at another level #RCBvDD #IPL2016 pic.twitter.com/4BtKq1tjbo";;;#RCBvDD #IPL2016;"721719745712627713";https://twitter.com/TrollCricket3/status/721719745712627713
bhaleraosarang;2016-04-17 07:38;18;25;"Never before has Chris Gayle has registered five single digit scores in T20s #RCBvDD #IPL2016";;;#RCBvDD #IPL2016;"721709476730941440";https://twitter.com/bhaleraosarang/status/721709476730941440
cricbuzz;2016-04-17 07:33;17;29;"Yet another failure for Gayle. Outstanding catch from JPD and the big man has been dismissed for a duck #RCBvDD #IPL2016";;;#RCBvDD #IPL2016;"721708143076487169";https://twitter.com/cricbuzz/status/721708143076487169
YESBANK;2016-04-17 07:29;36;105;"It's been a long time since @DelhiDaredevils has won against @RCBTweets . Who will win today? VIVO #IPL2016 #RCBvDD";;@DelhiDaredevils @RCBTweets;#IPL2016 #RCBvDD;"721707073961074688";https://twitter.com/YESBANK/status/721707073961074688
Shiva_cricinfo;2016-04-17 06:36;28;46;"First instance of both KXIP openers making fifties in an IPL game since Gilchrist and Valthaty against Chargers in 2011. #IPL2016 #KXIPvRPS";;;#IPL2016 #KXIPvRPS;"721693783243517953";https://twitter.com/Shiva_cricinfo/status/721693783243517953
SirJadeja;2016-04-17 04:42;40;181;"Struggling 50 For Faf du Plessis. Batting Like A Fighter. #KXIPvRPS #RPSvKXIP #IPL9 #IPL2016";;;#KXIPvRPS #RPSvKXIP #IPL9 #IPL2016;"721665179935592448";https://twitter.com/SirJadeja/status/721665179935592448
54simmo;2016-04-16 11:17;19;79;"Tough loss Guys!! We keep fighting #MumbaiIndians #IPL2016";;;#MumbaiIndians #IPL2016;"721402130431483904";https://twitter.com/54simmo/status/721402130431483904
RajBaddhan;2016-04-16 11:10;16;23;"Gujaratis have done it again. Well played #GL #IPL2016";;;#GL #IPL2016;"721400508959879168";https://twitter.com/RajBaddhan/status/721400508959879168
isaguha;2016-04-16 10:52;11;42;"Superstar @AaronFinch5 lighting up @IPL #IPL2016";;@AaronFinch5 @IPL;#IPL2016;"721395941014577152";https://twitter.com/isaguha/status/721395941014577152
BCBtigers;2016-04-16 09:12;65;431;"Mustafizur Rahman continues to haunt batsmen in the @IPL . Read HERE: http://www. tigercricket.com.bd/news/867/the-f izzy-yorker #SRHvKKR #IPL2016 pic.twitter.com/RMPQJ3Yusv";;@IPL;#SRHvKKR #IPL2016;"721370678037864448";https://twitter.com/BCBtigers/status/721370678037864448
SirJadeja;2016-04-16 06:54;139;412;"2 Minutes Of Silence For People Who Didn't Have Gautam Gambhir In Their Fantasy League. ;) #SRHvKKR #KKRvSRH #IPL2016 #IPL #IPL9";;;#SRHvKKR #KKRvSRH #IPL2016 #IPL #IPL9;"721336028741636096";https://twitter.com/SirJadeja/status/721336028741636096
ESPNcricinfo;2016-04-16 06:44;34;145;"Pic: How many fielders does it take to stop a boundary? #IPL2016 pic.twitter.com/hwVPjfHLGh";;;#IPL2016;"721333497999290368";https://twitter.com/ESPNcricinfo/status/721333497999290368
CricFit;2016-04-15 22:08;20;34;"Martin Guptill arrived as replacement for the injured Lendl Simmons. #IPL2016 #MI pic.twitter.com/gb7tlgqx20";;;#IPL2016 #MI;"721203645224787968";https://twitter.com/CricFit/status/721203645224787968
imbhandarkar;2016-04-15 11:50;20;38;"Congrats the team @salim_merchant @Sulaiman @rajpandit17 #EkIndiaHappywal #IPL2016 song Listen to http:// youtu.be/8upwJu_cyyA";;@salim_merchant @Sulaiman @rajpandit17;#EkIndiaHappywal #IPL2016;"721048099750150145";https://twitter.com/imbhandarkar/status/721048099750150145
ESPNcricinfo;2016-04-15 11:08;19;103;"Magical Mishra mesmerises in 100th IPL game http:// es.pn/1Ndukmq #DDvKXIP #IPL2016";;;#DDvKXIP #IPL2016;"721037589969575936";https://twitter.com/ESPNcricinfo/status/721037589969575936
IExpressSports;2016-04-14 23:51;43;97;"#IPL2016 A CSK moment after #GLvRPS in Rajkot http:// indianexpress.com/article/sports /cricket/ipl-2016-chennai-super-kings-reunite-for-a-picture-ms-dhoni-suresh-raina-csk-2754711/ pic.twitter.com/0Bx7od3pMI";;;#IPL2016 #GLvRPS;"720867097224433664";https://twitter.com/IExpressSports/status/720867097224433664
ImRainaTeam;2016-04-14 19:11;25;90;"Recent pictures of @ImRaina during their match against #RPS #IPL2016 pic.twitter.com/6HPmxLR7R3";Sri Lanka;@ImRaina;#RPS #IPL2016;"720796619260596224";https://twitter.com/ImRainaTeam/status/720796619260596224
SirJadeja;2016-04-14 10:49;181;496;"When You Need 1 Run In 12 Balls To Win. #SirJadeja Will Win It With 12 Balls To Spare. ;) #GLvRPS #RPSvGL #IPL9 #IPL2016";;;#SirJadeja #GLvRPS #RPSvGL #IPL9 #IPL2016;"720670402565918720";https://twitter.com/SirJadeja/status/720670402565918720
shibanidandekar;2016-04-14 10:32;19;77;"these Lions are looking good!! damn! #IPL2016";;;#IPL2016;"720666046793822208";https://twitter.com/shibanidandekar/status/720666046793822208
YCCCDizzy;2016-04-14 10:16;55;122;"My prediction that the @TheGujaratLions will win the IPL is looking good early days! #IPL2016";;@TheGujaratLions;#IPL2016;"720662045855784960";https://twitter.com/YCCCDizzy/status/720662045855784960
IPL_Sports;2016-04-14 10:13;6;23;"Missed stumping! McCullum dances down the wicket and gets beaten but Dhoni fails to capitalize on the stumping chance. #IPL2016 #GLvRPS";;;#IPL2016 #GLvRPS;"720661332094296065";https://twitter.com/IPL_Sports/status/720661332094296065
YCCCDizzy;2016-04-14 09:37;23;67;"Saurashtra Cricket Association Stadium looks a fantastic cricket venue! #IPL2016 #GLvRPS";;;#IPL2016 #GLvRPS;"720652165023469568";https://twitter.com/YCCCDizzy/status/720652165023469568
sanjaymanjrekar;2016-04-14 09:10;286;644;"Super death bowler vs super death batsman. Dhoni won that against Bravo. #IPL2016 #GLvRPS";;;#IPL2016 #GLvRPS;"720645439138045953";https://twitter.com/sanjaymanjrekar/status/720645439138045953
SirJadeja;2016-04-14 08:52;141;403;"That Awkward Moment For #CSK #Fan When #SIRJadeja Is Bowling To MS Dhoni And Suresh Raina Is Fielder. #GLvRPS #RPSvGL #IPL9 #IPL2016";;;#CSK #Fan #SIRJadeja #GLvRPS #RPSvGL #IPL9 #IPL2016;"720640865283145728";https://twitter.com/SirJadeja/status/720640865283145728
RedDevilSujay;2016-04-14 08:16;7;15;". @KP24 playing for the @RPSupergiants is the stuff of dreams for a KP-loving Punekar. 1 of my top 5 fav batsmen ever @IPL #IPL2016 #GLvRPS";;@KP24 @RPSupergiants @IPL;#IPL2016 #GLvRPS;"720631744559390720";https://twitter.com/RedDevilSujay/status/720631744559390720
pallavisharda;2016-04-14 08:15;21;123;"Great batting by @RPSupergiants ! The energy is absolutely pumping with fan love for the @TheGujaratLions ! #IPL2016 pic.twitter.com/nVMFrz0LAq";;@RPSupergiants @TheGujaratLions;#IPL2016;"720631508885594116";https://twitter.com/pallavisharda/status/720631508885594116
ESPNcricinfo;2016-04-14 07:46;17;38;"44-year-old Pravin Tambe's still got it. He strikes in his first over http:// es.pn/1T6ykV6 #GLvRPS #IPL2016";;;#GLvRPS #IPL2016;"720624336084824064";https://twitter.com/ESPNcricinfo/status/720624336084824064
